Host,Provider,IP (External),IP (Internal),Open Ports,HTTP Status,HTTP Title,Risk Rating,Findings,Technologies,WAF,DNS Records
akamai-apigateway-mfs.de.tesla.com,cdn-akamai,"23.211.187.167, 2a02:26f0:6d00:5a2::b12, 2a02:26f0:6d00:5a5::b12",,"80, 443",301 -> https://akamai-apigateway-mfs.de.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:23.211.187.167, AAAA:2a02:26f0:6d00:5a2::b12, AAAA:2a02:26f0:6d00:5a5::b12, CNAME:akamai-apigateway-mfs.de.tesla.com.edgekey.net"
akamai-apigateway-mytcore-prdsvc.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",403,Access Denied,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-mytcore-prdsvc.tesla.com.edgekey.net"
akamai-apigateway-ops-warp3pl.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:c900:3a7::700, 2a02:26f0:c900:3b6::700",,"80, 443",301 -> https://akamai-apigateway-ops-warp3pl.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:c900:3a7::700, AAAA:2a02:26f0:c900:3b6::700, CNAME:akamai-apigateway-ops-warp3pl.tesla.com.edgekey.net"
akamai-apigateway-ownership-mobile-app-stage.tesla.com,cdn-akamai,"104.80.228.227, 173.223.116.49, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",200,,N/A,,,Kona SiteDefender (Akamai),"A:173.223.116.49, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-ownership-mobile-app-stage.tesla.com.edgekey.net"
akamai-apigateway-ownershipsvc-stg.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-ownershipsvc-stg.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-ownershipsvc-stg.tesla.com.edgekey.net"
akamai-apigateway-ownershipsvc.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:594::700, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-ownershipsvc.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:594::700, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-ownershipsvc.tesla.com.edgekey.net"
akamai-apigateway-packaging2.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-packaging2.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-packaging2.tesla.com.edgekey.net"
akamai-apigateway-payment.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-payment.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-payment.tesla.com.edgekey.net"
akamai-apigateway-persona-prd.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",403,Access Denied,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-persona-prd.tesla.com.edgekey.net"
akamai-apigateway-persona-stg.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",403,Access Denied,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-persona-stg.tesla.com.edgekey.net"
